spanish	japanese	type	typeName	exEs	exEn	exJa
carecer	欠けている、不足している	v	動詞	El informe carece de datos suficientes para decidir.	The report lacks sufficient data to make a decision.	その報告書は決定を下すための十分なデータに欠けている。
comprobar	確かめる、検証する	v	動詞	Es necesario comprobar los resultados antes de publicar.	It is necessary to check the results before publishing.	公開する前に結果を検証することが必要だ。
conseguir	手に入れる、達成する	v	動詞	Consiguió solucionar el problema sin ayuda externa.	He managed to solve the problem without external help.	彼は外部の助けを借りずに問題を解決することができた。
considerar	検討する、〜とみなす	v	動詞	Consideramos imprescindible mejorar el proceso actual.	We consider it essential to improve the current process.	現在のプロセスを改善することは不可欠であると考えています。
convenir	〜に都合が良い、望ましい	v	動詞	Conviene revisar las cláusulas antes de firmar.	It is advisable to review the clauses before signing.	署名する前に条項を見直すのが望ましい。
despertar	目覚めさせる、喚起する	v	動詞	La conferencia despertó un gran interés público.	The lecture aroused great public interest.	その講演は世間の大きな関心を呼び起こした。
destacar	強調する、目立つ	v	動詞	Cabe destacar la importancia de la seguridad.	It is worth highlighting the importance of security.	セキュリティの重要性を強調しておく価値がある。
disminuir	減少する、減らす	v	動詞	Buscamos disminuir los costos de producción este trimestre.	We seek to reduce production costs this quarter.	今四半期は製造コストを削減することを目指しています。
exigir	要求する、求める	v	動詞	El nuevo cargo exige una alta responsabilidad.	The new position requires high responsibility.	新しい職務は高い責任を要求する。
garantizar	保証する、約束する	v	動詞	No podemos garantizar un éxito inmediato sin esfuerzo.	We cannot guarantee immediate success without effort.	努力なしに即座の成功を保証することはできません。
impedir	妨げる、邪魔する	v	動詞	La lluvia impidió que el evento se llevara a cabo.	The rain prevented the event from taking place.	雨のためイベントの実施が妨げられた。
influir	影響を与える	v	動詞	Factores externos pueden influir en el resultado final.	External factors can influence the final result.	外部要因が最終結果に影響を与える可能性がある。
insistir	主張する、強く求める	v	動詞	Ella insistió en revisar el documento otra vez.	She insisted on reviewing the document again.	彼女は文書をもう一度見直すことを強く主張した。
investigar	調査する、研究する	v	動詞	Un equipo especializado investigará el incidente.	A specialized team will investigate the incident.	専門チームがそのインシデントを調査する。
mantener	維持する、保つ	v	動詞	Es crucial mantener un equilibrio entre calidad y costo.	It is crucial to maintain a balance between quality and cost.	品質とコストのバランスを維持することが重要である。
negarse	拒否する、断る	v	動詞	Se negó a aceptar las condiciones impuestas.	He refused to accept the imposed conditions.	彼は課された条件を受け入れることを拒否した。
permitir	許可する、可能にする	v	動詞	Esta herramienta permite optimizar el flujo de trabajo.	This tool allows optimizing the workflow.	このツールによりワークフローを最適化できる。
proponer	提案する	v	動詞	Propongo organizar una reunión la próxima semana.	I propose organizing a meeting next week.	来週ミーティングを開催することを提案します。
recomendar	勧める、推挙する	v	動詞	Recomiendo que leas este libro de negocios.	I recommend that you read this business book.	このビジネス書を読むことをお勧めします。
reconocer	認める、認識する	v	動詞	El director reconoció el esfuerzo de todo el equipo.	The director recognized the effort of the whole team.	ディレクターはチーム全員の努力を認めた。
reducir	減らす、縮小する	v	動詞	Es urgente reducir la emisión de gases contaminantes.	It is urgent to reduce the emission of polluting gases.	汚染ガスの排出量を削減することは緊急の課題だ。
resolver	解決する、決断する	v	動詞	Debemos resolver este conflicto lo antes posible.	We must resolve this conflict as soon as possible.	できるだけ早くこのコンフリクト（対立）を解決しなければならない。
soportar	耐える、我慢する	v	動詞	No puedo soportar el ruido durante el trabajo.	I cannot bear the noise during work.	作業中の騒音には耐えられない。
sostener	支える、持論を主張する	v	動詞	El ponente sostuvo su teoría con datos precisos.	The speaker supported his theory with precise data.	登壇者は正確なデータで持論を裏付けた。
sustituir	取って代わる、交換する	v	動詞	Vamos a sustituir el sistema antiguo por uno moderno.	We are going to replace the old system with a modern one.	古いシステムを現代的なシステムにリプレイスする予定です。
variar	変化する、異なる	v	動詞	Los precios pueden variar según la temporada.	Prices may vary depending on the season.	価格は季節によって変動することがある。
avance	進展、進歩	m	男性名詞	El avance tecnológico cambia nuestra forma de vivir.	Technological progress changes our way of living.	技術の進歩は私たちの生き方を変える。
consecuencia	結果、影響	f	女性名詞	Cada acción tiene una consecuencia inevitable.	Every action has an inevitable consequence.	あらゆる行動には避けられない結果が伴う。
contexto	文脈、状況・背景	m	男性名詞	Es importante entender la palabra según el contexto.	It is important to understand the word according to context.	文脈に応じて単語を理解することが重要だ。
desarrollo	開発、成長	m	男性名詞	El desarrollo personal requiere paciencia y constancia.	Personal development requires patience and perseverance.	自己成長には忍耐と継続が必要だ。
discurso	スピーチ、演説	m	男性名詞	El presidente dio un discurso muy inspirador.	The president gave a very inspiring speech.	社長は非常に励みになるスピーチを行った。
efecto	効果、影響	m	男性名詞	La medida tuvo un efecto positivo inmediato.	The measure had an immediate positive effect.	その施策は即座に好影響をもたらした。
enfoque	アプローチ、着眼点	m	男性名詞	Necesitamos un nuevo enfoque para resolver el problema.	We need a new approach to solve the problem.	問題を解決するために新しいアプローチが必要です。
entorno	環境、周囲の状況	m	男性名詞	Debemos adaptarnos a un entorno digital cambiante.	We must adapt to a changing digital environment.	変化するデジタル環境に適応しなければならない。
evidencia	証拠、明白さ	f	女性名詞	No hay evidencia suficiente para confirmar la hipótesis.	There is not enough evidence to confirm the hypothesis.	仮説を証明する十分な証拠がない。
experiencia	経験、体験	f	女性名詞	La experiencia práctica es tan valiosa como la teoría.	Practical experience is as valuable as theory.	実践的な経験は理論と同じくらい価値がある。
impacto	影響、インパクト	m	男性名詞	El proyecto tuvo un gran impacto en la sociedad.	The project had a great impact on society.	そのプロジェクトは社会に大きなインパクトを与えた。
objetivo	目的、目標	m	男性名詞	El objetivo principal es aumentar la satisfacción.	The main objective is to increase satisfaction.	主な目標は満足度を高めることだ。
origen	起源、由来	m	男性名詞	El origen del problema aún es desconocido.	The origin of the problem is still unknown.	問題の原因（起源）は未だ不明である。
perspectiva	視点、見地	f	女性名詞	Ver la situación desde otra perspectiva ayuda mucho.	Seeing the situation from another perspective helps a lot.	別の視点から状況を見ることが大きな助けになる。
prioridad	優先事項、優先順位	f	女性名詞	Nuestra prioridad absoluta es la seguridad de los datos.	Our absolute priority is data security.	私たちの最優先事項はデータセキュリティです。
recurso	資源、リソース	m	男性名詞	Optimizamos el uso de los recursos disponibles.	We optimize the use of available resources.	利用可能なリソースの活用を最適化します。
resultado	結果、成果	m	男性名詞	Los resultados trimestrales superaron las expectativas.	Quarterly results exceeded expectations.	四半期業績は予想を上回った。
solución	解決策	f	女性名詞	Buscamos una solución sostenible a largo plazo.	We are looking for a long-term sustainable solution.	長期的で持続可能な解決策を探しています。
técnica	技術、手法	f	女性名詞	Esta técnica permite aprender más rápido.	This technique allows you to learn faster.	この手法を使えばより素早く学習できる。
ventaja	利点、アドバンテージ	f	女性名詞	La automatización ofrece una ventaja competitiva.	Automation offers a competitive advantage.	自動化は競争上の優位性（強み）をもたらす。
actual	現在の、現代の	adj	形容詞	La situación actual requiere decisiones rápidas.	The current situation requires fast decisions.	現在の状況は迅速な意思決定を求めている。
amplio	広い、広範な	adj	形容詞	El candidato posee un amplio conocimiento técnico.	The candidate has broad technical knowledge.	その候補者は広範な技術的知識を持っている。
anterior	前の、前述の	adj	形容詞	Como mencionamos en la sección anterior, es crucial.	As mentioned in the previous section, it is crucial.	前述のセクションで述べたように、これは重要である。
capaz	能力がある、〜できる	adj	形容詞	Es un ingeniero capaz de resolver problemas complejos.	He is an engineer capable of solving complex problems.	彼は複雑な問題を解決できる能力を持ったエンジニアだ。
clave	鍵となる、決定的な	adj	形容詞	El análisis de datos es el elemento clave.	Data analysis is the key element.	データ分析が鍵となる要素である。
constante	一定の、継続的な	adj	形容詞	El aprendizaje constante es esencial para el éxito.	Constant learning is essential for success.	絶え間ない学習が成功には不可欠だ。
diverso	多様な、様々な	adj	形容詞	El equipo está formado por personas de diversos orígenes.	The team consists of people from diverse backgrounds.	チームは多様なバックグラウンドを持つ人々で構成されている。
efectivo	効果的な、実質的な	adj	形容詞	Buscamos una estrategia efectiva de comunicación.	We are looking for an effective communication strategy.	効果的なコミュニケーション戦略を探しています。
esencial	不可欠な、本質的な	adj	形容詞	Es esencial verificar el código antes del despliegue.	It is essential to verify code before deployment.	デプロイ前にコードを検証することは不可欠だ。
extraño	奇妙な、珍しい	adj	形容詞	Sucedió algo extraño durante la prueba.	Something strange happened during the test.	テスト中に何か奇妙なことが起きた。
frecuente	頻繁な	adj	形容詞	Los errores humanos son la causa más frecuente.	Human errors are the most frequent cause.	ヒューマンエラーが最も頻繁な原因である。
grave	深刻な、重い	adj	形容詞	Cometer un error grave puede costar caro.	Making a serious error can cost dearly.	重大なエラーを犯すと高くつく可能性がある。
imprescindible	絶対に不可欠な	adj	形容詞	El trabajo en equipo es imprescindible hoy en día.	Teamwork is indispensable nowadays.	今日、チームワークは絶対に不可欠だ。
incapaz	〜できない、無能な	adj	形容詞	Fue incapaz de dar una respuesta clara.	He was unable to give a clear answer.	彼は明確な回答を出すことができなかった。
móvil	可動性の、モバイルの	adj	形容詞	El uso de dispositivos móviles sigue creciendo.	The use of mobile devices continues to grow.	モバイル端末の利用は拡大し続けている。
obvio	明白な、自明の	adj	形容詞	Es un hecho obvio que no necesita explicación.	It is an obvious fact that needs no explanation.	説明を要しない明白な事実だ。
posterior	後方の、その後の	adj	形容詞	Los detalles se discutirán en una reunión posterior.	Details will be discussed in a later meeting.	詳細は後日の会議で議論される。
profundo	深い、深刻な	adj	形容詞	Hicimos un análisis profundo sobre el mercado.	We conducted a deep analysis of the market.	市場に関する深い分析を行った。
sensible	に敏感な、デリケートな	adj	形容詞	Esta información es muy sensible y confidencial.	This information is very sensitive and confidential.	この情報は非常にデリケートで機密性が高い。
sostenible	持続可能な	adj	形容詞	Debemos promover un crecimiento económico sostenible.	We must promote sustainable economic growth.	持続可能な経済成長を促進しなければならない。
útil	役に立つ、有用な	adj	形容詞	Es una aplicación muy útil para la productividad.	It is a very useful application for productivity.	生産性向上に非常に役立つアプリです。
valioso	貴重な、価値のある	adj	形容詞	El tiempo es el recurso más valioso que tenemos.	Time is the most valuable resource we have.	時間は私たちが持つ最も貴重なリソースだ。
alrededor de	〜の周りに、およそ	other	その他	Llegaremos alrededor de las tres de la tarde.	We will arrive around three in the afternoon.	午後3時頃に到着する予定です。
a pesar de	〜にもかかわらず	other	その他	A pesar de las dificultades, logramos el objetivo.	Despite the difficulties, we achieved the goal.	困難にもかかわらず、目標を達成した。
a medida que	〜するにつれて	other	その他	A medida que avanzamos, surgen nuevas ideas.	As we move forward, new ideas emerge.	前に進むにつれて、新しいアイデアが生まれる。
a partir de	〜以降、〜から	other	その他	A partir de mañana, el horario cambiará.	Starting tomorrow, the schedule will change.	明日以降、スケジュールが変更になります。
a causa de	〜が原因で	other	その他	El retraso se debió a causa del mal tiempo.	The delay was due to bad weather.	遅延は悪天候が原因であった。
de acuerdo con	〜に従って、〜によれば	other	その他	De acuerdo con los informes, las ventas aumentaron.	According to the reports, sales increased.	報告書によれば、売上は増加した。
debido a	〜に起因して、〜のために	other	その他	Cancelamos el evento debido a imprevistos.	We canceled the event due to unforeseen circumstances.	不測の事態のためにイベントを中止した。
en cuanto a	〜に関しては、〜について言うと	other	その他	En cuanto a los costos, los discutiremos luego.	As for the costs, we will discuss them later.	コストに関しては、後ほど議論します。
en relación con	〜に関連して	other	その他	Escribo en relación con su consulta reciente.	I am writing in relation to your recent inquiry.	最近のお問い合わせに関連してご連絡しております。
frente a	〜に直面して、〜に対して	other	その他	Frente a la crisis, debemos actuar con calma.	In the face of the crisis, we must act calmly.	危機に直面して、私たちは冷静に行動しなければならない。
gracias a	〜のおかげで	other	その他	Gracias a tu ayuda, terminamos a tiempo.	Thanks to your help, we finished on time.	君の助けのおかげで時間通りに終わった。
junto a	〜のとなりに、〜と共に	other	その他	Trabajamos junto a expertos en la materia.	We work alongside experts in the field.	私たちはその分野の専門家と共に働いている。
por medio de	〜手段によって、〜を通じて	other	その他	Comunicaremos la decisión por medio de un correo.	We will communicate the decision by means of an email.	メールを通じて決定を連絡します。
respecto a	〜に関して	other	その他	No tengo comentarios respecto a ese tema.	I have no comments regarding that topic.	そのテーマに関してはコメントはありません。
sin embargo	しかしながら、けれども	conj	接続詞	Es un plan arriesgado; sin embargo, vale la pena.	It is a risky plan; however, it is worth it.	リスクのある計画だが、しかしやってみる価値はある。
no obstante	それにもかかわらず	conj	接続詞	Estudió mucho; no obstante, el examen fue duro.	He studied a lot; nevertheless, the exam was tough.	彼はよく勉強したが、それにもかかわらず試験は厳しかった。
por lo tanto	したがって、それゆえに	conj	接続詞	No hay presupuesto; por lo tanto, debemos esperar.	There is no budget; therefore, we must wait.	予算がない、したがって待たなければならない。
por consiguiente	結果として、したがって	conj	接続詞	Falló la prueba; por consiguiente, debemos repetir.	The test failed; consequently, we must repeat.	テストに失敗した、したがってやり直さなければならない。
siempre que	〜する限り（※要接続法）	conj	接続詞	Te ayudaré siempre que tengas una buena actitud.	I will help you as long as you have a good attitude.	前向きな姿勢でいる限り、手伝います。
A fin de que	〜となるように（※要接続法）	conj	接続詞	Explicó todo a fin de que no hubiera dudas.	He explained everything so that there would be no doubts.	疑問が残らないよう、彼はすべてを説明した。
